Make,Model,Accident.Number,Event.Id,Aircraft.Category,Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Year,Purpose.of.flight,Weather.Condition,Aircraft.damage,Broad.phase.of.flight,total_accidents,fatality_rate,Safety_Score
Beech,A45,WPR14LA117,20140223X32932,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2014-02-22,2014,Personal,VMC,Substantial,,3,0.0,100.0
Piper,Pa 16,WPR14CA120,20140224X30708,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-22,2014,Personal,VMC,Substantial,,9,0.0,100.0
Cessna,P210N,WPR14LA118,20140223X25135,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-23,2014,Personal,VMC,Substantial,,35,0.0,100.0
Vans,Rv-9A,CEN14LA148,20140224X00624,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-02-23,2014,Personal,VMC,Substantial,,1,1.0,0.0
Victor M Cordero,Rv-9A,ERA14LA130,20140224X15602,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2014-02-23,2014,Personal,VMC,Substantial,,1,0.0,100.0
Piper Aircraft Inc,Pa-46-500Tp,ERA14LA149,20140310X12023,Airplane,Turbo Prop,1.0,0.0,0.0,0.0,5.0,2014-02-23,2014,Personal,VMC,Substantial,,1,0.0,100.0
Sabrena,Dragonfly,WPR14LA119,20140223X25847,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-02-24,2014,Personal,VMC,Substantial,,1,1.0,0.0
Robinson Helicopter Company,R44 Ii,CEN14LA149,20140226X25206,Helicopter,Reciprocating,1.0,0.0,0.0,1.0,2.0,2014-02-24,2014,Personal,VMC,Substantial,,117,0.0,100.0
Piper,Pa-18-150,ERA14CA136,20140227X34538,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-24,2014,Personal,VMC,Substantial,,64,0.0,100.0
American Legend Aircraft Co,Al3,ERA14CA134,20140225X42414,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-02-25,2014,Instructional,VMC,Substantial,,11,0.0,100.0
Cessna,172M,WPR14CA122,20140225X54241,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-25,2014,Personal,VMC,Substantial,,90,0.0,100.0
Lake,La 4 200,WPR14LA123,20140225X63101,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-25,2014,Personal,VMC,Substantial,,1,0.0,100.0
Bellanca,17 30A,CEN14CA151,20140227X64144,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-25,2014,Personal,Unk,Substantial,,4,0.0,100.0
Douglas,C 118A,ENG14IA016,20140603X95748,Airplane,Reciprocating,4.0,0.0,0.0,0.0,3.0,2014-02-25,2014,,VMC,Minor,,2,0.0,100.0
Hughes,369D,WPR14WA128,20140304X53552,Helicopter,,,0.0,0.0,0.0,3.0,2014-02-25,2014,,,Substantial,,25,0.0,100.0
Cessna,172M,CEN14CA155,20140311X42253,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-26,2014,Unknown,Unk,Substantial,,90,0.0,100.0
Piper,Pa31,WPR14FA124,20140227X53145,Airplane,Reciprocating,2.0,3.0,0.0,3.0,0.0,2014-02-27,2014,,VMC,Substantial,,28,0.10714285714285714,89.28571428571429
Partenavia S.P.A.,P 68 Observer,WPR14CA129,20140304X53448,Airplane,Reciprocating,2.0,0.0,0.0,0.0,1.0,2014-02-28,2014,Personal,VMC,Substantial,,1,0.0,100.0
Grumman,G164 - A,WPR14LA130,20140304X75019,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-02-28,2014,Aerial Application,VMC,Substantial,,1,0.0,100.0
Cessna,A185F,CEN14CA177,20140402X94230,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2014-02-28,2014,Personal,VMC,Substantial,,47,0.0,100.0
Beech,F33,ERA14FA138,20140301X53654,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-01,2014,Personal,VMC,Destroyed,,13,0.07692307692307693,92.3076923076923
Piper,Pa 11S,ERA14CA139,20140304X32328,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-01,2014,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa 18-150,ERA14CA140,20140304X44821,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2014-03-01,2014,Banner Tow,VMC,Substantial,,57,0.0,100.0
Aeronca,7Ac,CEN14CA157,20140311X80703,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-01,2014,Personal,VMC,Substantial,,49,0.0,100.0
Amateur Built Aircraft,Van'S Rv-6,WPR14WA126,20140304X14233,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-02,2014,,,Destroyed,,1,1.0,0.0
Silvaire,Luscombe 8E,ANC14CA017,20140304X61133,Airplane,Reciprocating,,0.0,1.0,0.0,1.0,2014-03-02,2014,Personal,VMC,Substantial,,3,0.0,100.0
Piper,Pa 46 350P,WPR14FA127,20140304X52659,Airplane,Reciprocating,1.0,1.0,0.0,1.0,0.0,2014-03-03,2014,Personal,VMC,Substantial,,10,0.1,90.0
Piper,Pa-28-161,ERA14LA141,20140304X94802,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2014-03-04,2014,Personal,VMC,Substantial,,32,0.0,100.0
Cessna,172R,ERA14LA142,20140305X83714,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-05,2014,Personal,IMC,Substantial,,45,0.0,100.0
Cessna,172M,ANC14WA019,20140313X22603,Airplane,,,2.0,0.0,0.0,0.0,2014-03-05,2014,,,Destroyed,,90,0.022222222222222223,97.77777777777777
Airbus,A320,DCA14WA082,20140319X73408,Airplane,,,0.0,0.0,0.0,359.0,2014-03-05,2014,,,,,70,0.0,100.0
Boeing,737 - 932Er,DCA14CA090,20140507X51410,Airplane,Turbo Fan,2.0,0.0,0.0,1.0,186.0,2014-03-05,2014,,VMC,,,1,0.0,100.0
Diamond Aircraft Ind Inc,Da 20,CEN14CA153,20140310X43403,Airplane,Reciprocating,,0.0,0.0,0.0,1.0,2014-03-06,2014,Instructional,VMC,Substantial,,4,0.0,100.0
Zenair,Ch2T,WPR14LA153,20140401X71416,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-06,2014,Instructional,VMC,Substantial,,1,0.0,100.0
Zivko Aeronautics Inc,Edge 540T,ERA14WA148,20140310X01308,Airplane,Reciprocating,,1.0,0.0,0.0,0.0,2014-03-07,2014,Air Race show,VMC,Substantial,,1,1.0,0.0
Cessna,172M,ERA14CA151,20140311X54001,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-07,2014,Personal,VMC,Substantial,,90,0.0,100.0
Cessna,170B,WPR14LA134,20140311X63503,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-07,2014,Personal,VMC,Substantial,,55,0.0,100.0
Rogers George T,Lancair Ivp,ERA14FA144,20140308X02401,Airplane,Turbo Prop,1.0,3.0,0.0,0.0,0.0,2014-03-08,2014,Personal,VMC,Substantial,,1,3.0,-200.0
Cessna,170B,ERA14LA146,20140309X03824,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2014-03-08,2014,Personal,VMC,Substantial,,55,0.0,100.0
Cessna,172D,ERA14LA147,20140309X20356,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2014-03-08,2014,Personal,VMC,Destroyed,,8,0.0,100.0
Piper,Pa-28-140,ERA14CA150,20140310X21314,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2014-03-08,2014,Instructional,VMC,Substantial,,79,0.0,100.0
Peter W Stevens,Bearhawk Patrol,WPR14LA133,20140311X10524,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-08,2014,Personal,VMC,Substantial,,1,0.0,100.0
Olson Kenneth H T,Zodiac 601 Hds,CEN14CA156,20140311X43334,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-08,2014,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa 18,ANC14CA018,20140311X91431,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-08,2014,Personal,VMC,Substantial,,27,0.0,100.0
Cessna,310Q,CEN14LA159,20140312X33622,Airplane,Reciprocating,2.0,0.0,0.0,0.0,3.0,2014-03-08,2014,Personal,VMC,Substantial,,3,0.0,100.0
Cessna,172N,ERA14CA160,20140320X40839,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-08,2014,Personal,VMC,Substantial,,99,0.0,100.0
Boeing,777 - 206,DCA14RA076,20140308X91420,Airplane,,,239.0,0.0,0.0,0.0,2014-03-08,2014,,,Destroyed,,3,79.66666666666667,-7866.666666666667
Cessna,120,WPR14FA132,20140309X30405,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-09,2014,Personal,Unk,Destroyed,,36,0.027777777777777776,97.22222222222221
Cessna,185,CEN14CA154,20140310X52524,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-09,2014,Personal,VMC,Substantial,,21,0.0,100.0
Kurtz Jay B,Rv-9A,ERA14LA152,20140311X60834,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2014-03-09,2014,Personal,VMC,Substantial,,1,0.0,100.0
Mcdonnell Douglas,Md11 - F,ENG14WA008,20140312X85557,Airplane,Turbo Fan,3.0,0.0,0.0,0.0,3.0,2014-03-09,2014,,,,,2,0.0,100.0
Boeing,737-800,DCA14WA088,20140415X25115,Airplane,,,0.0,0.0,1.0,5.0,2014-03-09,2014,,,,,20,0.0,100.0
American Champion Aircraft,8Gcbc,CEN14CA158,20140312X22036,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2014-03-10,2014,Personal,VMC,Substantial,,8,0.0,100.0
Waters Peter T,Avid Bandit,ERA14FA153,20140311X73719,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-11,2014,Personal,VMC,Destroyed,,1,1.0,0.0
Evolution Trikes,Revo,WPR14FA135,20140312X35434,Weight-Shift,Reciprocating,1.0,2.0,0.0,0.0,0.0,2014-03-11,2014,Instructional,VMC,Substantial,,5,0.4,60.0
Beech,Be9L-C90,ERA14WA154,20140312X43048,Airplane,,,5.0,0.0,0.0,0.0,2014-03-12,2014,Other Work Use,,Destroyed,,1,5.0,-400.0
Raytheon Aircraft Company,400A,ENG14IA011,20140506X00214,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,7.0,2014-03-13,2014,Executive/corporate,VMC,Minor,,5,0.0,100.0
Airbus,A320 - 214,DCA14MA081,20140314X21725,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,154.0,2014-03-13,2014,,VMC,Substantial,,2,0.0,100.0
Norman,Quad City Challenger,WPR14CA136,20140317X90512,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-13,2014,Personal,VMC,Substantial,,1,0.0,100.0
Beech,35 C33A,CEN14CA162,20140319X02846,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-13,2014,Personal,VMC,Substantial,,1,0.0,100.0
Agustawestland Spa,Agusta Aw139,CEN14WA171,20140327X91026,Helicopter,,,4.0,0.0,0.0,0.0,2014-03-13,2014,,,Destroyed,,1,4.0,-300.0
Cessna,T188C,ERA14WA245,20140520X11751,Airplane,,,0.0,1.0,0.0,0.0,2014-03-13,2014,Aerial Application,,Substantial,,5,0.0,100.0
Cessna,172M,ERA14CA155,20140314X94359,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-14,2014,Personal,VMC,Substantial,,90,0.0,100.0
Cessna,402B,ERA14LA156,20140315X02901,Airplane,Reciprocating,2.0,0.0,1.0,0.0,0.0,2014-03-14,2014,Personal,VMC,Substantial,,7,0.0,100.0
Piper,Pa 28-235,CEN14CA160,20140317X45728,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2014-03-14,2014,Aerial Observation,VMC,Substantial,,7,0.0,100.0
Stinson,108,CEN14CA183,20140402X52558,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-14,2014,Personal,VMC,Substantial,,43,0.0,100.0
Dg Flugzeugbau Gmbh,Dg 1000S,WPR14CA138,20140318X91534,Glider,None,0.0,0.0,1.0,0.0,1.0,2014-03-15,2014,Personal,VMC,Substantial,,2,0.0,100.0
Cessna,500,ERA14LA159,20140320X34640,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,2.0,2014-03-16,2014,Personal,VMC,Substantial,,6,0.0,100.0
Cessna,210N,ERA14CA157,20140319X93028,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-17,2014,Personal,VMC,Substantial,,8,0.0,100.0
Airbus,A330 323,DCA14CA083,20140320X53321,Airplane,Turbo Fan,2.0,0.0,0.0,1.0,264.0,2014-03-17,2014,,VMC,,,3,0.0,100.0
Grumman,Tmb-3E,WPR14CA143,20140321X12204,Airplane,Reciprocating,1.0,0.0,0.0,0.0,4.0,2014-03-17,2014,Positioning,VMC,Substantial,,1,0.0,100.0
Eurocopter,As 350 B2,WPR14FA137,20140318X21532,Helicopter,Turbo Shaft,1.0,2.0,0.0,0.0,0.0,2014-03-18,2014,Positioning,VMC,Destroyed,,11,0.18181818181818182,81.81818181818181
Cessna,150M,CEN14LA161,20140318X41646,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2014-03-18,2014,Instructional,VMC,Substantial,,30,0.0,100.0
Cessna,172K,ERA14LA158,20140319X03744,Airplane,Reciprocating,1.0,0.0,2.0,0.0,1.0,2014-03-18,2014,Personal,VMC,Substantial,,24,0.0,100.0
Beech,P35,CEN14LA165,20140320X05548,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2014-03-18,2014,Instructional,VMC,Substantial,,9,0.0,100.0
Smith,Aerostar 601P,CEN14FA163,20140319X12053,Airplane,Reciprocating,2.0,1.0,0.0,0.0,0.0,2014-03-19,2014,Personal,VMC,Destroyed,,4,0.25,75.0
Bayer Oscar,Starduster Sa300,WPR14CA139,20140319X95657,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-19,2014,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa 28R-201,CEN14CA164,20140320X02459,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-19,2014,Personal,VMC,Substantial,,8,0.0,100.0
Skykits Corp,Savannah Vgw,CEN14CA166,20140320X15357,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-19,2014,Personal,VMC,Substantial,,2,0.0,100.0
Boeing,767-300,DCA14WA104,20140603X93634,Airplane,,,0.0,0.0,0.0,262.0,2014-03-19,2014,,,,,1,0.0,100.0
Mooney,M20J,CEN14CA440,20140820X23242,Airplane,Reciprocating,1.0,0.0,1.0,1.0,1.0,2014-03-19,2014,Personal,VMC,Substantial,,65,0.0,100.0
Md Helicopter,500N,WPR14WA148,20140327X21042,Helicopter,,,1.0,0.0,1.0,0.0,2014-03-19,2014,,,Substantial,,1,1.0,0.0
Diamond Aircraft Ind Inc,Da 40,WPR14CA140,20140320X05318,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-20,2014,Instructional,VMC,Substantial,,15,0.0,100.0
Evektor-Aerotechnik As,Sportstar,WPR14LA141,20140321X00837,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-20,2014,Instructional,VMC,Substantial,,14,0.0,100.0
Cessna,421,ERA14LA170,20140325X93358,Airplane,Reciprocating,2.0,0.0,0.0,0.0,3.0,2014-03-20,2014,Personal,VMC,Substantial,,16,0.0,100.0
Bellanca,17 31,WPR14LA142,20140321X05050,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-21,2014,Personal,VMC,Substantial,,1,0.0,100.0
Cessna Aircraft Co,Lc41-550Fg,ERA14LA161,20140322X60437,Airplane,Reciprocating,1.0,1.0,0.0,1.0,0.0,2014-03-21,2014,Personal,VMC,Substantial,,2,0.5,50.0
Farace Thomas Scott,Kitfox Ii,ERA14LA164,20140324X43822,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2014-03-21,2014,Instructional,VMC,Substantial,,1,0.0,100.0
Donald G Stokes,Challenger Ii,CEN14CA170,20140324X73412,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-21,2014,Personal,VMC,Substantial,,1,0.0,100.0
Olson Perry D,Titan 51 Mustang,CEN14LA168,20140324X85530,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-21,2014,Personal,VMC,Substantial,,1,0.0,100.0
Columbia Aircraft Mfg,Lc42 550Fg,WPR14LA146,20140325X22555,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-21,2014,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,206H,ERA14LA173,20140326X92742,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-21,2014,Positioning,VMC,Substantial,,3,0.0,100.0
Cessna,172N,CEN14CA186,20140407X85759,Airplane,Reciprocating,1.0,0.0,0.0,0.0,4.0,2014-03-21,2014,Personal,VMC,Substantial,,99,0.0,100.0
Socata,Tbm 700,CEN14FA167,20140322X03239,Airplane,Turbo Prop,1.0,5.0,0.0,0.0,0.0,2014-03-22,2014,Personal,VMC,Substantial,,16,0.3125,68.75
Piper,Pa-28-181,ERA14FA162,20140322X60839,Airplane,Reciprocating,1.0,2.0,0.0,1.0,0.0,2014-03-22,2014,Personal,VMC,Substantial,,26,0.07692307692307693,92.3076923076923
Fritz Neumeyer,Glasair Ii Ft / 1865,CEN14WA169,20140324X02937,Airplane,,1.0,2.0,0.0,0.0,0.0,2014-03-22,2014,,,Substantial,,1,2.0,-100.0
Cessna,172B,ERA14CA176,20140331X91729,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-22,2014,Personal,VMC,Substantial,,10,0.0,100.0
Cessna,205 - Undesignat,CEN14WA176,20140401X25311,Airplane,,,0.0,0.0,0.0,2.0,2014-03-22,2014,,,Substantial,,1,0.0,100.0
Cessna,U206 - G,WPR14WA154,20140401X91539,Airplane,,,5.0,0.0,0.0,0.0,2014-03-22,2014,,,Destroyed,,3,1.6666666666666667,-66.66666666666667
Dehavilland,Dhc-1,ERA14FA163,20140324X21941,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-23,2014,Personal,Unk,Substantial,,1,1.0,0.0
Fantasy Air Sro,Allegro 2000,ERA14CA165,20140324X50849,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2014-03-23,2014,Personal,VMC,Substantial,,2,0.0,100.0
Waco,Uic,ERA14CA166,20140324X60027,Airplane,Reciprocating,1.0,0.0,0.0,0.0,4.0,2014-03-23,2014,Other Work Use,VMC,Substantial,,1,0.0,100.0
Cessna,O1 - A,ERA14LA167,20140324X60401,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-23,2014,Banner Tow,VMC,Substantial,,1,0.0,100.0
Cessna,172M,ERA14CA169,20140325X90559,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-23,2014,Instructional,VMC,Substantial,,90,0.0,100.0
Diamond Aircraft Ind Inc,Da 20 C1,WPR14CA156,20140403X23521,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-23,2014,Instructional,VMC,Substantial,,11,0.0,100.0
Robinson,R22 - Beta,ERA14WA196,20140414X95907,Helicopter,Reciprocating,1.0,2.0,0.0,0.0,0.0,2014-03-23,2014,Personal,Unk,Substantial,,7,0.2857142857142857,71.42857142857143
Robinson,R44 - Ii,CEN14LA197,20140415X42203,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-23,2014,Personal,VMC,Substantial,,11,0.0,100.0
Piper,Pa-44-180,ERA14FA168,20140324X00546,Airplane,Reciprocating,2.0,2.0,0.0,0.0,0.0,2014-03-24,2014,Instructional,VMC,Destroyed,,10,0.2,80.0
Aeronca,7Dc,WPR14CA145,20140324X84629,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-24,2014,Personal,VMC,Substantial,,3,0.0,100.0
Cessna,172,ERA14CA171,20140325X21134,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2014-03-24,2014,Personal,VMC,Substantial,,625,0.0,100.0
Cessna,172P,WPR14LA147,20140327X10328,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2014-03-26,2014,Instructional,VMC,Substantial,,57,0.0,100.0
Cessna,560Xl,CEN14IA172,20140327X84223,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,4.0,2014-03-26,2014,,VMC,,,13,0.0,100.0
Bell,Oh-58A,WPR14TA149,20140327X35539,Helicopter,Turbo Shaft,1.0,0.0,0.0,0.0,3.0,2014-03-27,2014,Public Aircraft - Local,IMC,Substantial,,9,0.0,100.0
Cessna,180,ANC14CA021,20140327X91749,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-27,2014,Personal,VMC,Substantial,,135,0.0,100.0
Aviat Aircraft Inc,A 1B,ERA14CA177,20140331X34130,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-27,2014,Personal,VMC,Substantial,,8,0.0,100.0
Robinson Helicopter Co,R22 Beta,WPR14WA311,20140724X12856,Helicopter,Reciprocating,,0.0,0.0,1.0,0.0,2014-03-27,2014,,,Substantial,,3,0.0,100.0
Just Aircraft Llc,Highlander,WPR14CA150,20140327X11415,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-28,2014,Instructional,VMC,Substantial,,2,0.0,100.0
Maule,Mx 7-180B,CEN14CA181,20140402X45002,Airplane,Reciprocating,,0.0,0.0,0.0,1.0,2014-03-28,2014,Personal,VMC,Substantial,,1,0.0,100.0
Aviat Aircraft Inc,A 1B,WPR14CA151,20140330X00518,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-03-29,2014,Personal,VMC,Substantial,,8,0.0,100.0
Worthington Donald Wayne,Sonerai Ii Lt,CEN14FA173,20140330X24915,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-03-29,2014,Personal,VMC,Destroyed,,1,1.0,0.0
Piper,Pa38 - 112,CEN14WA175,20140401X10104,Airplane,,,0.0,0.0,0.0,2.0,2014-03-29,2014,Unknown,VMC,Substantial,,2,0.0,100.0
Boeing,B75,ERA14WA186,20140409X11452,Airplane,Reciprocating,1.0,1.0,0.0,1.0,0.0,2014-03-29,2014,Personal,VMC,Substantial,,4,0.25,75.0
Piper,Pa 18A,WPR14CA152,20140330X02513,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-30,2014,Instructional,VMC,Substantial,,7,0.0,100.0
Beech,S35,ERA14CA175,20140330X32413,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2014-03-30,2014,Personal,VMC,Substantial,,12,0.0,100.0
Bell,47G 3B,CEN14LA174,20140331X41332,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-03-30,2014,Aerial Observation,VMC,Substantial,,3,0.0,100.0
Bellanca,8Kcab,ERA14LA178,20140331X71544,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2014-03-30,2014,Personal,VMC,Substantial,,14,0.0,100.0
Buckeye Industries,Dream Machine,CEN14CA179,20140402X02030,Airplane,Unknown,1.0,0.0,0.0,2.0,0.0,2014-03-31,2014,Personal,VMC,Substantial,,3,0.0,100.0
Embraer,Erj 190 100 Igw,DCA14WA086,20140402X95747,Airplane,,,0.0,0.0,0.0,0.0,2014-03-31,2014,,,,,4,0.0,100.0
Cessna,172M,WPR14CA155,20140402X32616,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-04-01,2014,Personal,VMC,Substantial,,90,0.0,100.0
Cessna,T210L,CEN14WA184,20140402X65606,Airplane,Reciprocating,,2.0,0.0,0.0,0.0,2014-04-01,2014,Personal,Unk,Destroyed,,22,0.09090909090909091,90.9090909090909
Robert A Miller,Murphy Rebel Elite,WPR14CA157,20140403X43403,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2014-04-02,2014,Personal,VMC,Substantial,,1,0.0,100.0
Robert J Reimbold,Zenith Ch 750,ERA14LA183,20140407X04236,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-04-02,2014,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,T210L,ERA14LA179,20140403X84610,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2014-04-03,2014,Instructional,VMC,Substantial,,22,0.0,100.0
Vans Aircraft Inc,Rv-12,ERA14LA181,20140406X50715,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-04-03,2014,Personal,VMC,Minor,,9,0.0,100.0
Piper,Pa28 - 181,CEN14WA247,20140521X61244,Airplane,,,0.0,0.0,0.0,2.0,2014-04-03,2014,,,Minor,,2,0.0,100.0
Boeing,737-800,DCA14WA109,20140605X64127,Airplane,,,0.0,0.0,0.0,195.0,2014-04-04,2014,,,,,20,0.0,100.0
Helpling Helen C,Tango 2,ERA14LA180,20140404X81215,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2014-04-04,2014,Personal,VMC,Destroyed,,1,0.0,100.0
Bell,206B Iii,WPR14LA159,20140408X11935,Helicopter,Turbo Shaft,1.0,0.0,2.0,0.0,0.0,2014-04-04,2014,Other Work Use,VMC,Substantial,,3,0.0,100.0
Piper,Pa-30,ERA14WA187,20140409X22153,Airplane,Reciprocating,2.0,1.0,0.0,0.0,0.0,2014-04-04,2014,Unknown,IMC,Destroyed,,27,0.037037037037037035,96.2962962962963
Piper Aircraft Inc,Pa-28-161,ERA14LA268,20140530X42427,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-04-04,2014,Instructional,VMC,Substantial,,2,0.0,100.0
Bellanca,17-30A,CEN14FA185,20140406X02952,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-04-05,2014,Personal,VMC,Substantial,,16,0.0625,93.75
Cessna,172,CEN14CA187,20140407X03522,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2014-04-05,2014,Instructional,VMC,Substantial,,625,0.0,100.0
Enstrom,280 - Fx,CEN14WA190,20140407X52405,Helicopter,,,1.0,0.0,2.0,0.0,2014-04-05,2014,,,Destroyed,,2,0.5,50.0
Belisle Thomas J,Rv7A,CEN14CA189,20140407X94000,Airplane,Reciprocating,,0.0,1.0,0.0,0.0,2014-04-05,2014,Personal,VMC,Substantial,,1,0.0,100.0
Agustawestland Spa,Aw109Sp,WPR14LA160,20140408X81146,Helicopter,Turbo Shaft,2.0,0.0,0.0,1.0,3.0,2014-04-05,2014,Other Work Use,VMC,,,1,0.0,100.0
Fortuna Dave,Sonex,ERA14FA464,20140410X75226,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2014-04-05,2014,Personal,VMC,Substantial,,1,1.0,0.0
Terry F King,Zenith 701,ERA14CA191,20140411X80240,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2014-04-05,2014,Personal,VMC,Substantial,,1,0.0,100.0
Monroe Dennis,Rv-7,ERA14FA182,20140406X10930,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2014-04-06,2014,Personal,VMC,Substantial,,1,2.0,-100.0
